src,dst,weight
1,6,1
1,7,1
1,8,1
1,9,1
1,11,1
1,22,1
1,23,1
1,26,1
1,28,1
1,31,1
1,45,1
1,50,1
1,60,1
1,62,1
1,67,1
1,70,1
1,75,1
1,76,1
1,94,1
1,96,1
1,110,1
1,113,1
1,115,1
1,116,1
1,135,1
1,143,1
1,144,1
1,157,1
1,164,1
1,171,1
1,187,1
1,222,1
1,258,1
1,265,1
1,266,1
1,267,1
1,318,1
1,329,1
1,336,1
1,343,1
1,352,1
1,358,1
1,398,1
1,410,1
1,414,1
1,440,1
1,446,1
1,461,1
1,492,1
1,495,1
1,536,1
1,542,1
1,554,1
1,573,1
1,592,1
1,611,1
1,623,1
1,633,1
1,634,1
1,655,1
1,666,1
1,677,1
1,680,1
1,692,1
1,713,1
1,757,1
1,777,1
1,778,1
1,803,1
1,826,1
1,839,1
1,960,1
1,1036,1
1,1040,1
1,1053,1
1,1099,1
1,1102,1
1,1118,1
1,1173,1
1,1314,1
1,1323,1
1,1337,1
1,1365,1
1,1399,1
1,1412,1
1,1416,1
1,1444,1
1,1451,1
1,1511,1
1,1518,1
1,1549,1
1,1573,1
1,1596,1
1,1616,1
1,1627,1
1,1662,1
1,1689,1
1,1708,1
1,1753,1
1,1876,1
1,1880,1
1,2002,1
1,2036,1
1,2108,1
1,2123,1
1,2158,1
1,2242,1
1,2317,1
1,2325,1
1,2424,1
1,2478,1
1,2491,1
1,2539,1
1,2558,1
1,2615,1
1,2617,1
1,2702,1
1,2704,1
1,2856,1
1,2857,1
1,2868,1
1,2901,1
1,2907,1
1,2957,1
1,2983,1
1,2999,1
1,3064,1
1,3071,1
1,3113,1
1,3157,1
1,3196,1
1,3316,1
1,3500,1
1,3614,1
1,3720,1
1,3763,1
1,3775,1
1,3785,1
1,3804,1
1,3817,1
1,3888,1
1,3906,1
1,4190,1
1,4246,1
1,4278,1
1,4287,1
1,4432,1
1,4433,1
1,4440,1
1,4486,1
1,4503,1
1,4523,1
1,4581,1
1,4642,1
1,4733,1
1,4809,1
1,4944,1
1,4945,1
