src,dst,weight
1,98,1
1,194,1
1,250,1
1,259,1
1,318,1
1,416,1
1,422,1
1,465,1
1,479,1
1,494,1
1,513,1
1,521,1
1,538,1
1,701,1
1,728,1
1,803,1
1,912,1
1,1041,1
1,1083,1
1,1136,1
1,1218,1
1,1221,1
1,1234,1
1,1278,1
1,1324,1
1,1421,1
1,1494,1
1,1501,1
1,1644,1
1,1671,1
1,1692,1
1,1713,1
1,1733,1
1,1771,1
1,1846,1
1,1878,1
1,1966,1
1,1986,1
1,2077,1
1,2085,1
1,2212,1
1,2220,1
1,2223,1
1,2321,1
1,2354,1
1,2355,1
1,2384,1
1,2423,1
1,2438,1
1,2489,1
1,2586,1
1,2607,1
1,2698,1
1,2736,1
1,2770,1
1,2905,1
1,2986,1
1,2996,1
1,3608,1
1,3969,1
1,4277,1
1,5507,1
2,58,1
2,150,1
2,319,1
2,344,1
2,365,1
2,381,1
2,385,1
2,408,1
2,420,1
2,459,1
2,486,1
2,573,1
2,589,1
2,685,1
2,714,1
2,760,1
2,828,1
2,973,1
2,1134,1
2,1240,1
2,1259,1
2,1279,1
2,1290,1
2,1347,1
2,1374,1
2,1431,1
2,1459,1
2,1467,1
2,1586,1
2,1592,1
2,1603,1
2,1606,1
2,1747,1
2,1927,1
2,1929,1
2,2007,1
2,2037,1
2,2054,1
2,2074,1
2,2171,1
2,2206,1
2,2257,1
2,2343,1
2,2408,1
2,2615,1
2,2629,1
2,2637,1
2,2680,1
2,2687,1
2,2715,1
2,3728,1
2,5111,1
3,158,1
3,164,1
3,249,1
3,265,1
3,486,1
3,684,1
3,798,1
3,885,1
3,886,1
3,937,1
3,955,1
3,1136,1
3,1370,1
3,1563,1
3,1609,1
3,1696,1
3,1731,1
3,1811,1
3,1848,1
3,1873,1
3,1886,1
3,1914,1
3,2109,1
3,2148,1
3,2284,1
3,2640,1
3,2666,1
3,2876,1
3,2887,1
3,2969,1
3,2991,1
3,2996,1
3,4674,1
3,5377,1
3,5653,1
4,20,1
4,81,1
4,111,1
4,203,1
4,407,1
4,446,1
4,522,1
4,527,1
4,835,1
4,860,1
4,926,1
4,1018,1
4,1044,1
4,1070,1
4,1281,1
4,1319,1
4,1411,1
4,1442,1
4,1505,1
4,1512,1
4,1622,1
4,1686,1
4,1728,1
4,1814,1
4,1858,1
4,1874,1
4,1932,1
4,2174,1
4,2179,1
4,2290,1
4,2384,1
4,2454,1
4,2455,1
4,2516,1
4,2548,1
4,2598,1
4,2706,1
4,2774,1
4,2778,1
4,2787,1
4,2846,1
4,2867,1
4,2904,1
4,2929,1
4,2936,1
4,2959,1
4,3411,1
4,5030,1
4,5169,1
4,5719,1
4,5808,1
5,87,1
5,103,1
5,239,1
5,267,1
5,282,1
5,295,1
5,321,1
5,322,1
5,373,1
5,397,1
5,398,1
5,427,1
5,442,1
5,448,1
5,536,1
5,538,1
5,590,1
5,662,1
5,681,1
5,720,1
5,730,1
5,811,1
5,920,1
5,1000,1
5,1037,1
5,1091,1
5,1099,1
5,1149,1
5,1305,1
5,1339,1
5,1450,1
5,1470,1
5,1478,1
5,1586,1
5,1661,1
5,1834,1
5,1850,1
5,1961,1
5,2071,1
5,2122,1
5,2183,1
5,2254,1
5,2359,1
5,2373,1
5,2611,1
5,2615,1
5,2619,1
5,2715,1
5,2757,1
5,2825,1
5,2902,1
5,4995,1
5,5189,1
6,118,1
6,121,1
6,281,1
6,372,1
6,458,1
6,459,1
6,515,1
6,541,1
6,641,1
6,703,1
6,756,1
6,764,1
6,800,1
6,833,1
6,968,1
6,973,1
6,978,1
6,1017,1
6,1112,1
6,1116,1
6,1194,1
6,1416,1
6,1430,1
6,1525,1
6,1573,1
